,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
KHC,42.33,15.619926,1.0787462,19.62,1.08,2.03,71030000000,8.164367816091954,,
KR,46.18,11.15459,3.3213463,7.19,3.28,0.23,50820000000,1.6220874561123524,,
LHX,194.65,16.38468,2.0284493,14.67,2.27,2.65,50630000000,9.410780669144982,,
LH,254.76,12.821338,2.261799,,,,,,,
LRCX,470.99,13.600635,8.665072,,,,,,,
LW,99.99,25.313923,25.104193,18.34,24.65,3.15,16469999999,19.795673075721155,,
LVS,54.45,-49.5,10.666014,,,,,,,
LDOS,97.84,15.383647,3.2804692,,,,,,,
LEN,98.78,10.783843,1.1778033,,,,,,,
LNC,31.38,-7.436019,2.395054,,,,,,,
LIN,330.0,30.414745,4.335716,,,,,,,
LYV,76.12,89.55294,-230.66667,,,,,,,
LKQ,57.89,14.805626,2.9714608,,,,,,,
LMT,447.16,20.788471,9.75331,,,,,,,
L,59.35,,1.0208118,,,,,,2.9,
LOW,209.52,15.248909,-9.948245,,,,,,,
LUMN,5.59,4.080292,0.45989308,,,,,,,
LYB,91.59,7.374396,2.4463794,,,,,,,
MTB,150.54,12.555463,1.1196061,,,,,,,
MRO,26.8,5.851528,1.5404068,,,,,,,
MPC,121.77,4.788439,2.1711688,,,,,,,
MKTX,328.04,49.329323,12.119107,,,,,,,
MAR,160.99,24.541159,48.35987,,,,,,,
MMC,172.01,25.370205,8.929554,,,,,,,
MLM,353.09,28.894434,3.1614528,,,,,,,
MAS,50.93,13.617647,-18.614765,,,,,,,
MA,375.0,35.477768,56.77517,,,,,,,
MTCH,47.29,34.021584,-18.885784,30.71,10.97,3.95,16360000000,7.609302325581395,,
MKC,81.1,30.037035,4.739641,22.95,4.74,3.43,26760000000,10.661354581673306,,
MCD,274.11,27.521082,-30.57557,21.82,,8.2,235840000000,18.747217806041334,,
MCK,383.47,15.468737,-30.771145,14.59,5.04,0.21,58430000000,4.467125382262997,,
MDT,80.35,15.246679,2.060098,13.77,2.07,3.51,122390000000,5.637494242284661,,
MRK,110.45,14.945872,6.2938056,,,,,,,
META,135.36,14.923925,2.906967,7.9,2.49,3.18,343310000000,3.6031696053736355,,
MET,71.57,10.180654,2.2471662,,2.25,0.83,76980000000,3.717044905842588,,
MTD,1531.3,39.193756,-412.3048,30.62,,9.16,36590000000,16.861751152073733,,
